AssetID,month,Total
BR4,1,33946.9445
BR4,2,22094.201899999996
BR4,3,20594.1054
BR4,4,17817.5102
BR4,5,0.0
BR4,6,9581.9201
BR4,7,11751.2499
BR4,8,13641.825
BR4,9,4972.381300000001
BR4,10,33362.2814
BR4,11,7056.288600000002
BR4,12,11634.767
BR5,1,141768.95789999998
BR5,2,130257.17500000002
BR5,3,123024.2593
BR5,4,38417.944299999996
BR5,5,0.0
BR5,6,0.0
BR5,7,46610.8185
BR5,8,80974.89790000001
BR5,9,60353.178799999994
BR5,10,179118.4545
BR5,11,73079.6964
BR5,12,56539.7439
CL01,1,11634.592299999998
CL01,2,10044.3482
CL01,3,7397.3554
CL01,4,11548.282
CL01,5,10942.938
CL01,6,3324.768
CL01,7,4463.636
CL01,8,7379.685999999999
CL01,9,13363.400000000001
CL01,10,10259.188000000002
CL01,11,10979.548199999997
CL01,12,7130.839999999999
EC04,1,7744.278899999998
EC04,2,5006.9413
EC04,3,5783.8918
EC04,4,3555.9221000000002
EC04,5,752.2518999999999
EC04,6,724.2883999999998
EC04,7,218.86129999999997
EC04,8,93.9818
EC04,9,2221.4677
EC04,10,1917.1817000000003
EC04,11,3445.941999999999
EC04,12,5438.5623000000005
MKR1,1,14202.673100000002
MKR1,2,16742.118000000002
MKR1,3,17692.4554
MKR1,4,16884.5315
MKR1,5,7577.054600000001
MKR1,6,8119.8336
MKR1,7,40129.4484
MKR1,8,7310.8743
MKR1,9,27827.932100000005
MKR1,10,21662.637499999997
MKR1,11,8298.4097
MKR1,12,3921.2057
PH1,1,25534.4012
PH1,2,24742.020800000002
PH1,3,27323.643200000006
PH1,4,15347.721199999998
PH1,5,2957.8360000000002
PH1,6,7995.7276
PH1,7,8984.147200000001
PH1,8,6361.0484000000015
PH1,9,10475.155599999998
PH1,10,20645.452800000003
PH1,11,3987.27
PH1,12,16966.504800000002
RB5,1,23688.524999999998
RB5,2,18437.571600000003
RB5,3,45450.8418
RB5,4,27725.8548
RB5,5,12128.2056
RB5,6,10293.1542
RB5,7,17863.801199999998
RB5,8,20121.939600000005
RB5,9,24156.111000000008
RB5,10,41064.66840000002
RB5,11,18424.2618
RB5,12,26098.22460000001
RL1,1,0.0
RL1,2,0.0
RL1,3,0.0
RL1,4,0.0
RL1,5,0.0
RL1,6,0.0
RL1,7,0.0
RL1,8,0.0
RL1,9,0.0
RL1,10,0.0
RL1,11,0.0
RL1,12,0.0
SH1,1,189573.2595
SH1,2,138875.48579999997
SH1,3,171171.1048
SH1,4,117158.3921
SH1,5,123701.72739999997
SH1,6,120913.2758
SH1,7,133331.3849
SH1,8,123338.45879999998
SH1,9,130922.38299999997
SH1,10,152289.3538
SH1,11,156695.79769999997
SH1,12,162976.8868
SH2,1,135280.4353
SH2,2,55687.1625
SH2,3,0.0
SH2,4,105967.81029999998
SH2,5,118818.56849999998
SH2,6,119150.147
SH2,7,119063.96000000002
SH2,8,123694.25180000001
SH2,9,118343.9487
SH2,10,142068.8395
SH2,11,146107.6448
SH2,12,144572.22160000002
VVW1,1,7947.828000000001
VVW1,2,2709.42
VVW1,3,8141.084000000001
VVW1,4,1500.156
VVW1,5,2768.9479999999994
VVW1,6,189.08400000000003
VVW1,7,2596.216
VVW1,8,2865.94
VVW1,9,1757.1680000000001
VVW1,10,10673.068000000001
VVW1,11,6034.699999999998
VVW1,12,1069.67
VVW2,1,9398.172
VVW2,2,9567.012
VVW2,3,10819.395999999999
VVW2,4,2437.54
VVW2,5,774.424
VVW2,6,3525.004
VVW2,7,4069.5199999999995
VVW2,8,4034.043999999999
VVW2,9,4096.848
VVW2,10,14466.507999999998
VVW2,11,6613.683999999999
VVW2,12,5586.812000000001
